group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
C selection_sort 10000,,,,,1032246.0,ns,3
C selection_sort 10000,,,,,2050684.0,ns,6
C selection_sort 10000,,,,,3112849.0,ns,9
C selection_sort 10000,,,,,4198755.0,ns,12
C selection_sort 10000,,,,,5134112.0,ns,15
C selection_sort 10000,,,,,6242342.0,ns,18
C selection_sort 10000,,,,,7286396.0,ns,21
C selection_sort 10000,,,,,8233792.0,ns,24
C selection_sort 10000,,,,,9242239.0,ns,27
C selection_sort 10000,,,,,10281458.0,ns,30
C selection_sort 10000,,,,,11307037.0,ns,33
C selection_sort 10000,,,,,12325577.0,ns,36
C selection_sort 10000,,,,,13487417.0,ns,39
C selection_sort 10000,,,,,14465187.0,ns,42
C selection_sort 10000,,,,,15393328.0,ns,45
C selection_sort 10000,,,,,16396452.0,ns,48
C selection_sort 10000,,,,,17433020.0,ns,51
C selection_sort 10000,,,,,18550075.0,ns,54
C selection_sort 10000,,,,,19491691.0,ns,57
C selection_sort 10000,,,,,20530747.0,ns,60
C selection_sort 10000,,,,,21538270.0,ns,63
C selection_sort 10000,,,,,22583260.0,ns,66
C selection_sort 10000,,,,,23697589.0,ns,69
C selection_sort 10000,,,,,24645504.0,ns,72
C selection_sort 10000,,,,,25677156.0,ns,75
C selection_sort 10000,,,,,26704101.0,ns,78
C selection_sort 10000,,,,,27784662.0,ns,81
C selection_sort 10000,,,,,28864143.0,ns,84
C selection_sort 10000,,,,,29824413.0,ns,87
C selection_sort 10000,,,,,30816517.0,ns,90
C selection_sort 10000,,,,,31857870.0,ns,93
C selection_sort 10000,,,,,32821918.0,ns,96
C selection_sort 10000,,,,,33891927.0,ns,99
C selection_sort 10000,,,,,34923120.0,ns,102
C selection_sort 10000,,,,,35960642.0,ns,105
C selection_sort 10000,,,,,36995731.0,ns,108
C selection_sort 10000,,,,,38016335.0,ns,111
C selection_sort 10000,,,,,39079201.0,ns,114
C selection_sort 10000,,,,,40239428.0,ns,117
C selection_sort 10000,,,,,41371087.0,ns,120
C selection_sort 10000,,,,,42250341.0,ns,123
C selection_sort 10000,,,,,43369004.0,ns,126
C selection_sort 10000,,,,,44248293.0,ns,129
C selection_sort 10000,,,,,45222544.0,ns,132
C selection_sort 10000,,,,,46237845.0,ns,135
C selection_sort 10000,,,,,47327730.0,ns,138
C selection_sort 10000,,,,,48267022.0,ns,141
C selection_sort 10000,,,,,49323566.0,ns,144
C selection_sort 10000,,,,,50341445.0,ns,147
C selection_sort 10000,,,,,51673043.0,ns,150
C selection_sort 10000,,,,,52381169.0,ns,153
C selection_sort 10000,,,,,53550367.0,ns,156
C selection_sort 10000,,,,,54477601.0,ns,159
C selection_sort 10000,,,,,55446253.0,ns,162
C selection_sort 10000,,,,,56556468.0,ns,165
C selection_sort 10000,,,,,57498973.0,ns,168
C selection_sort 10000,,,,,58598925.0,ns,171
C selection_sort 10000,,,,,59607631.0,ns,174
C selection_sort 10000,,,,,60565358.0,ns,177
C selection_sort 10000,,,,,61883692.0,ns,180
C selection_sort 10000,,,,,62616022.0,ns,183
C selection_sort 10000,,,,,63696053.0,ns,186
C selection_sort 10000,,,,,64736919.0,ns,189
C selection_sort 10000,,,,,65896823.0,ns,192
C selection_sort 10000,,,,,66903672.0,ns,195
C selection_sort 10000,,,,,67791760.0,ns,198
C selection_sort 10000,,,,,68829696.0,ns,201
C selection_sort 10000,,,,,69994344.0,ns,204
C selection_sort 10000,,,,,70957021.0,ns,207
C selection_sort 10000,,,,,71934785.0,ns,210
C selection_sort 10000,,,,,72926182.0,ns,213
C selection_sort 10000,,,,,73968951.0,ns,216
C selection_sort 10000,,,,,75019466.0,ns,219
C selection_sort 10000,,,,,76063292.0,ns,222
C selection_sort 10000,,,,,77028578.0,ns,225
C selection_sort 10000,,,,,78054045.0,ns,228
C selection_sort 10000,,,,,79058541.0,ns,231
C selection_sort 10000,,,,,80156944.0,ns,234
C selection_sort 10000,,,,,81235727.0,ns,237
C selection_sort 10000,,,,,82177215.0,ns,240
C selection_sort 10000,,,,,83246137.0,ns,243
C selection_sort 10000,,,,,84401651.0,ns,246
C selection_sort 10000,,,,,85474304.0,ns,249
C selection_sort 10000,,,,,86493259.0,ns,252
C selection_sort 10000,,,,,87323551.0,ns,255
C selection_sort 10000,,,,,88341822.0,ns,258
C selection_sort 10000,,,,,89377600.0,ns,261
C selection_sort 10000,,,,,90488300.0,ns,264
C selection_sort 10000,,,,,91442700.0,ns,267
C selection_sort 10000,,,,,92449470.0,ns,270
C selection_sort 10000,,,,,93801876.0,ns,273
C selection_sort 10000,,,,,94735194.0,ns,276
C selection_sort 10000,,,,,95685384.0,ns,279
C selection_sort 10000,,,,,96601663.0,ns,282
C selection_sort 10000,,,,,97682436.0,ns,285
C selection_sort 10000,,,,,98587843.0,ns,288
C selection_sort 10000,,,,,99667887.0,ns,291
C selection_sort 10000,,,,,100648222.0,ns,294
C selection_sort 10000,,,,,101799829.0,ns,297
C selection_sort 10000,,,,,102725130.0,ns,300
