group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Selection Sort,C,10000,,,60378146.0,ns,2
Selection Sort,C,10000,,,60305625.0,ns,2
Selection Sort,C,10000,,,60196790.0,ns,2
Selection Sort,C,10000,,,60258463.0,ns,2
Selection Sort,C,10000,,,60225411.0,ns,2
Selection Sort,C,10000,,,60237753.0,ns,2
Selection Sort,C,10000,,,60218724.0,ns,2
Selection Sort,C,10000,,,60227099.0,ns,2
Selection Sort,C,10000,,,60259260.0,ns,2
Selection Sort,C,10000,,,60230045.0,ns,2
Selection Sort,C,10000,,,60240833.0,ns,2
Selection Sort,C,10000,,,60307736.0,ns,2
Selection Sort,C,10000,,,60245483.0,ns,2
Selection Sort,C,10000,,,60220168.0,ns,2
Selection Sort,C,10000,,,60218609.0,ns,2
Selection Sort,C,10000,,,60251726.0,ns,2
Selection Sort,C,10000,,,60256607.0,ns,2
Selection Sort,C,10000,,,60249353.0,ns,2
Selection Sort,C,10000,,,60232018.0,ns,2
Selection Sort,C,10000,,,60258544.0,ns,2
Selection Sort,C,10000,,,60259791.0,ns,2
Selection Sort,C,10000,,,60299570.0,ns,2
Selection Sort,C,10000,,,60234252.0,ns,2
Selection Sort,C,10000,,,60232814.0,ns,2
Selection Sort,C,10000,,,60211637.0,ns,2
Selection Sort,C,10000,,,60250127.0,ns,2
Selection Sort,C,10000,,,60227583.0,ns,2
Selection Sort,C,10000,,,60228318.0,ns,2
Selection Sort,C,10000,,,60259981.0,ns,2
Selection Sort,C,10000,,,60266999.0,ns,2
Selection Sort,C,10000,,,60240104.0,ns,2
Selection Sort,C,10000,,,60313888.0,ns,2
Selection Sort,C,10000,,,60228239.0,ns,2
Selection Sort,C,10000,,,60229644.0,ns,2
Selection Sort,C,10000,,,60268011.0,ns,2
Selection Sort,C,10000,,,60238174.0,ns,2
Selection Sort,C,10000,,,60235923.0,ns,2
Selection Sort,C,10000,,,60211659.0,ns,2
Selection Sort,C,10000,,,60226442.0,ns,2
Selection Sort,C,10000,,,60220782.0,ns,2
Selection Sort,C,10000,,,60281746.0,ns,2
Selection Sort,C,10000,,,60257378.0,ns,2
Selection Sort,C,10000,,,60243544.0,ns,2
Selection Sort,C,10000,,,60227523.0,ns,2
Selection Sort,C,10000,,,60248351.0,ns,2
Selection Sort,C,10000,,,60255785.0,ns,2
Selection Sort,C,10000,,,60248234.0,ns,2
Selection Sort,C,10000,,,60231130.0,ns,2
Selection Sort,C,10000,,,60215865.0,ns,2
Selection Sort,C,10000,,,60235679.0,ns,2
Selection Sort,C,10000,,,60282443.0,ns,2
Selection Sort,C,10000,,,60264048.0,ns,2
Selection Sort,C,10000,,,60238241.0,ns,2
Selection Sort,C,10000,,,60249908.0,ns,2
Selection Sort,C,10000,,,60224886.0,ns,2
Selection Sort,C,10000,,,60238881.0,ns,2
Selection Sort,C,10000,,,60250832.0,ns,2
Selection Sort,C,10000,,,60220172.0,ns,2
Selection Sort,C,10000,,,60199067.0,ns,2
Selection Sort,C,10000,,,60227714.0,ns,2
Selection Sort,C,10000,,,60290345.0,ns,2
Selection Sort,C,10000,,,60245577.0,ns,2
Selection Sort,C,10000,,,60218956.0,ns,2
Selection Sort,C,10000,,,60215544.0,ns,2
Selection Sort,C,10000,,,60230836.0,ns,2
Selection Sort,C,10000,,,60231908.0,ns,2
Selection Sort,C,10000,,,60226055.0,ns,2
Selection Sort,C,10000,,,60231517.0,ns,2
Selection Sort,C,10000,,,60248926.0,ns,2
Selection Sort,C,10000,,,60205519.0,ns,2
Selection Sort,C,10000,,,60305820.0,ns,2
Selection Sort,C,10000,,,60263457.0,ns,2
Selection Sort,C,10000,,,60213685.0,ns,2
Selection Sort,C,10000,,,60245027.0,ns,2
Selection Sort,C,10000,,,60229784.0,ns,2
Selection Sort,C,10000,,,60219757.0,ns,2
Selection Sort,C,10000,,,60251748.0,ns,2
Selection Sort,C,10000,,,60223547.0,ns,2
Selection Sort,C,10000,,,60237027.0,ns,2
Selection Sort,C,10000,,,60235880.0,ns,2
Selection Sort,C,10000,,,60292036.0,ns,2
Selection Sort,C,10000,,,60245992.0,ns,2
Selection Sort,C,10000,,,60246478.0,ns,2
Selection Sort,C,10000,,,60238432.0,ns,2
Selection Sort,C,10000,,,60249378.0,ns,2
Selection Sort,C,10000,,,60220390.0,ns,2
Selection Sort,C,10000,,,60220933.0,ns,2
Selection Sort,C,10000,,,60223095.0,ns,2
Selection Sort,C,10000,,,60214197.0,ns,2
Selection Sort,C,10000,,,60236989.0,ns,2
Selection Sort,C,10000,,,60301176.0,ns,2
Selection Sort,C,10000,,,60226802.0,ns,2
Selection Sort,C,10000,,,60230849.0,ns,2
Selection Sort,C,10000,,,60215753.0,ns,2
Selection Sort,C,10000,,,60224779.0,ns,2
Selection Sort,C,10000,,,60233540.0,ns,2
Selection Sort,C,10000,,,60216488.0,ns,2
Selection Sort,C,10000,,,60208150.0,ns,2
Selection Sort,C,10000,,,60224654.0,ns,2
Selection Sort,C,10000,,,60240810.0,ns,2
