group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Insertion Sort,Rust,100,,,822570.0,ns,320
Insertion Sort,Rust,100,,,1630913.0,ns,640
Insertion Sort,Rust,100,,,2442682.0,ns,960
Insertion Sort,Rust,100,,,3258201.0,ns,1280
Insertion Sort,Rust,100,,,4105612.0,ns,1600
Insertion Sort,Rust,100,,,4885139.0,ns,1920
Insertion Sort,Rust,100,,,5699609.0,ns,2240
Insertion Sort,Rust,100,,,6526953.0,ns,2560
Insertion Sort,Rust,100,,,7325635.0,ns,2880
Insertion Sort,Rust,100,,,8155600.0,ns,3200
Insertion Sort,Rust,100,,,8961581.0,ns,3520
Insertion Sort,Rust,100,,,9695364.0,ns,3840
Insertion Sort,Rust,100,,,10272253.0,ns,4160
Insertion Sort,Rust,100,,,11084156.0,ns,4480
Insertion Sort,Rust,100,,,11857624.0,ns,4800
Insertion Sort,Rust,100,,,12648423.0,ns,5120
Insertion Sort,Rust,100,,,13457032.0,ns,5440
Insertion Sort,Rust,100,,,14235925.0,ns,5760
Insertion Sort,Rust,100,,,15005566.0,ns,6080
Insertion Sort,Rust,100,,,15812496.0,ns,6400
Insertion Sort,Rust,100,,,16674834.0,ns,6720
Insertion Sort,Rust,100,,,17914942.0,ns,7040
Insertion Sort,Rust,100,,,18716769.0,ns,7360
Insertion Sort,Rust,100,,,19538081.0,ns,7680
Insertion Sort,Rust,100,,,20375814.0,ns,8000
Insertion Sort,Rust,100,,,21200591.0,ns,8320
Insertion Sort,Rust,100,,,21980963.0,ns,8640
Insertion Sort,Rust,100,,,22805982.0,ns,8960
Insertion Sort,Rust,100,,,23626534.0,ns,9280
Insertion Sort,Rust,100,,,23906098.0,ns,9600
Insertion Sort,Rust,100,,,24491911.0,ns,9920
Insertion Sort,Rust,100,,,25279501.0,ns,10240
Insertion Sort,Rust,100,,,26071864.0,ns,10560
Insertion Sort,Rust,100,,,26862302.0,ns,10880
Insertion Sort,Rust,100,,,28336378.0,ns,11200
Insertion Sort,Rust,100,,,29323332.0,ns,11520
Insertion Sort,Rust,100,,,30131644.0,ns,11840
Insertion Sort,Rust,100,,,30937553.0,ns,12160
Insertion Sort,Rust,100,,,31741874.0,ns,12480
Insertion Sort,Rust,100,,,31818868.0,ns,12800
Insertion Sort,Rust,100,,,32433526.0,ns,13120
Insertion Sort,Rust,100,,,33188308.0,ns,13440
Insertion Sort,Rust,100,,,34140586.0,ns,13760
Insertion Sort,Rust,100,,,35834705.0,ns,14080
Insertion Sort,Rust,100,,,36660083.0,ns,14400
